"regulatoryGene" "targetGene" "weight"
"Aldoc" "Agpat5" 1
"Agpat5" "Aldoc" 1
"Aldoc" "Gm5796" 0.793308499678081
"Agpat5" "AI606473" 0.775629062490381
"Agpat5" "Snora62" 0.775421424666889
"Aldoc" "Rnase12" 0.775003553264291
"Agpat5" "Gm26643" 0.771587038410356
"Agpat5" "A330094K24Rik" 0.766848200168888
"Aldoc" "X9130024F11Rik" 0.758782914714107
"Aldoc" "Zfp850.1" 0.758502660186286
"Agpat5" "Gm15628" 0.757349555250054
"Agpat5" "Gm16401" 0.748835411970031
"Aldoc" "Fbxo42" 0.746891805025491
"Aldoc" "Gm11868" 0.74189072551467
"Agpat5" "A330074K22Rik" 0.740488010437963
"Agpat5" "Gpr1" 0.737321976867173
"Aldoc" "Fbxw15" 0.732945221761582
"Agpat5" "Gm16764" 0.730744658752571
"Agpat5" "Cyhr1" 0.730178823664632
"Agpat5" "Samhd1" 0.726314604386996
"Aldoc" "X9330171B17Rik" 0.725137457324131
"Agpat5" "Csf2" 0.72502612340962
"Agpat5" "Gm26841" 0.724884937337159
"Aldoc" "Gm10818" 0.7223102965244
"Agpat5" "Mobp" 0.720535793144299
"Aldoc" "Npffr2" 0.720351134642322
"Aldoc" "Gm15920" 0.720259546265586
"Agpat5" "X1700014D04Rik" 0.719634432890327
"Aldoc" "Drp2" 0.718375307254171
"Aldoc" "Gm13536" 0.717802647538802
"Aldoc" "Iqsec1" 0.715195152271483
"Agpat5" "Stk17b" 0.71473259401495
"Aldoc" "Gm26838" 0.712682726632036
"Aldoc" "Prnd" 0.71249235186913
"Aldoc" "Gm17191" 0.712182635475085
"Aldoc" "Gm6485" 0.710510921884476
"Agpat5" "Ms4a6b" 0.708172823472045
"Agpat5" "Igkv3.12" 0.707154810486701
"Agpat5" "Gm20519" 0.705835254519975
"Agpat5" "Shbg" 0.70435838315721
"Aldoc" "Gm16168" 0.704339417466769
"Aldoc" "Ighv1.23" 0.702873256505788
"Agpat5" "Gm20704" 0.702702107994461
"Aldoc" "Ccnb1ip1" 0.70191539794304
"Agpat5" "Rbp2" 0.700131397418204
"Agpat5" "Plcg2" 0.700119567926192
"Agpat5" "A230108P19Rik" 0.699513547301217
"Agpat5" "Fbxo24" 0.699331455840157
"Agpat5" "Adra1b" 0.698479187240285
"Aldoc" "Cnpy1" 0.698346577357558
"Agpat5" "Npas4" 0.698092617280836
"Agpat5" "Gm13981" 0.698049510124159
"Agpat5" "Gm12524" 0.697776201198992
"Agpat5" "Gpr33" 0.697361409321213
"Aldoc" "Gm7206" 0.69719729238343
"Agpat5" "Flna" 0.696509773342319
"Agpat5" "AI504432" 0.695201971184779
"Aldoc" "Crispld1" 0.694735004485479
"Aldoc" "Vmn2r1" 0.694671636320898
"Aldoc" "Gpr15" 0.694533310807669
"Agpat5" "Gm11887" 0.694497116731069
"Agpat5" "Negr1" 0.694480689659311
"Agpat5" "Dock11" 0.694085064995749
"Aldoc" "Igkv12.41" 0.694036044916847
"Agpat5" "D430040D24Rik" 0.694029592575015
"Aldoc" "Gm12844" 0.693486037356196
"Aldoc" "Iglv2" 0.693433765564309
"Aldoc" "Gm23599" 0.693292154831871
"Agpat5" "Gm11975" 0.692906294489629
"Aldoc" "Kctd4" 0.692704099030953
"Agpat5" "Igkv5.39" 0.692038009721273
"Aldoc" "Gm15792" 0.69176117876689
"Agpat5" "X4731419I09Rik" 0.691439323941687
"Agpat5" "Nxph3" 0.690997386615557
"Aldoc" "Igkv4.58" 0.69057706172601
"Agpat5" "Fkbp6" 0.690392077859046
"Aldoc" "Gm26596" 0.689075686041921
"Agpat5" "Gm12349" 0.688988166430614
"Agpat5" "Dtnbp1" 0.688793848946264
"Agpat5" "Fpr2" 0.688637938177974
"Aldoc" "Gm11671" 0.688313816365838
"Agpat5" "Emr4" 0.688266377038518
"Aldoc" "Scgb2b3" 0.687947581414403
"Aldoc" "Lphn3" 0.686677848467929
"Aldoc" "Islr2" 0.686647296430637
"Agpat5" "Gm11223" 0.685496220584503
"Aldoc" "X9630013D21Rik" 0.685300174687652
"Agpat5" "Gpr141" 0.685107279267864
"Aldoc" "Rcc2" 0.684568439609488
"Agpat5" "Nmrk2" 0.684108068706419
"Aldoc" "Supt4a" 0.683990232972922
"Aldoc" "Kcnv2" 0.683972130812936
"Agpat5" "Magix" 0.683890276630889
"Aldoc" "Gm15462" 0.682762500164504
"Agpat5" "Gm8995" 0.682466937438588
"Aldoc" "Cdh1" 0.682391679070511
"Agpat5" "X1700064H15Rik" 0.682390676061469
"Aldoc" "Nrk" 0.682167604664727
"Agpat5" "Gm20535" 0.681779896111163
"Agpat5" "Lhx9" 0.681747482371845
"Agpat5" "Ighv5.6" 0.681590384647067
"Aldoc" "Gm16151" 0.681384107601768
"Aldoc" "X4930426I24Rik" 0.681299095353661
"Agpat5" "Snx5" 0.680607228913765
"Agpat5" "Ppp1ca" 0.680331121291128
"Aldoc" "Sugp2" 0.680170258535347
"Agpat5" "Adad2" 0.680160496583714
"Agpat5" "X1700019G06Rik" 0.680063129254626
"Agpat5" "Igkv4.81" 0.679699425453472
"Agpat5" "X1.Mar.1" 0.678940026784093
"Aldoc" "Rpl39" 0.678798054246989
"Agpat5" "A630023P12Rik" 0.678693519743295
"Agpat5" "Gm20532" 0.678631217524832
"Agpat5" "Rab8b" 0.678543974357325
"Agpat5" "Cpne8" 0.678341980443066
"Agpat5" "Gm10419" 0.678251896084624
"Agpat5" "Nccrp1" 0.678154958481271
"Agpat5" "B430306N03Rik" 0.677844974468422
"Agpat5" "Car6" 0.677805230327443
"Aldoc" "Gm16397" 0.677341689968056
"Agpat5" "Sf1" 0.677234421695468
"Aldoc" "Hnrnpa1l2.ps" 0.676906970264245
"Agpat5" "Ccr5" 0.676728095509668
"Aldoc" "Gm15384" 0.676454911068274
"Agpat5" "Myo1g" 0.676425053180878
"Agpat5" "Gm17782" 0.676400111420679
"Aldoc" "AU022754" 0.676286027960206
"Aldoc" "Scamp3" 0.676089375998968
"Aldoc" "Nfatc1" 0.676072226164684
"Agpat5" "Gm15930" 0.67593953545208
"Aldoc" "Usp1" 0.675582607671549
"Agpat5" "Ighv7.3" 0.675496533926963
"Agpat5" "Ighg3" 0.675413756860889
"Agpat5" "Fcgr4" 0.675350514883537
"Agpat5" "Opn4" 0.675216561820111
"Agpat5" "Tssk2" 0.674994705189685
"Aldoc" "Gm26763" 0.674978567771936
"Agpat5" "Spn" 0.674956494846365
"Agpat5" "Prkcb" 0.674877893644729
"Aldoc" "Zkscan16" 0.674363414100467
"Aldoc" "Gm15342" 0.674322931214275
"Aldoc" "Timm44" 0.674207686298206
"Agpat5" "Eps8" 0.673968756304322
"Aldoc" "X1700016G14Rik" 0.673642612425321
"Agpat5" "Themis2" 0.673508707873731
"Aldoc" "Gm5591" 0.673408608698364
"Aldoc" "H3f3c" 0.673370571693962
"Agpat5" "X1700052N19Rik" 0.673005055524276
"Aldoc" "Tmem194" 0.67295182945512
"Agpat5" "Ednrb" 0.672732542027973
"Agpat5" "Ighv2.4" 0.672225268514984
"Agpat5" "Fgd3" 0.672192641161875
"Aldoc" "Gm8163" 0.671919565002421
"Agpat5" "Gpr65" 0.671901989649374
"Aldoc" "Kin" 0.671778454949382
"Aldoc" "Ktn1" 0.671646160567773
"Agpat5" "F630028O10Rik" 0.67116744893398
"Agpat5" "Ptms" 0.670799063877251
"Aldoc" "Decr2" 0.670743326764326
"Agpat5" "Mlxip" 0.670709341958815
"Agpat5" "Gm14407" 0.670641817084871
"Aldoc" "Gm3617" 0.670633008920903
"Aldoc" "Ighv2.2" 0.670595656875684
"Aldoc" "Gm11878" 0.67047956232384
"Aldoc" "Gm6175" 0.670477332207578
"Aldoc" "Chd2" 0.670455117251909
"Agpat5" "Gm13393" 0.670273205319931
"Agpat5" "Igkv8.30" 0.67024439838603
"Aldoc" "Gm8522" 0.670018009615398
"Agpat5" "Akna" 0.669983255992704
"Aldoc" "Cnksr2" 0.669853507313845
"Agpat5" "Msn" 0.669601433533585
"Agpat5" "Eqtn" 0.669353384371922
"Aldoc" "Lrrc42" 0.669067279086602
"Agpat5" "Dach2" 0.668965475653579
"Aldoc" "Mkks" 0.668801442970433
"Agpat5" "Gabra1" 0.668721739575615
"Agpat5" "Il10ra" 0.668644868991769
"Agpat5" "Gm5641" 0.668511508072049
"Agpat5" "Ncbp2" 0.668317570896957
"Agpat5" "Fam193b" 0.668101453613537
"Aldoc" "X4933408B17Rik" 0.668030749807055
"Agpat5" "Filip1l" 0.667850339467261
"Agpat5" "Zbtb48" 0.667768051640016
"Aldoc" "Slc48a1" 0.66768359422432
"Agpat5" "Nfix" 0.667212248777571
"Agpat5" "Slc24a2" 0.667091139263642
"Agpat5" "Aamp" 0.667045432343383
"Agpat5" "Rpl15.ps3" 0.667033694795765
"Agpat5" "X4632428N05Rik" 0.666908469329261
"Agpat5" "Gm26951" 0.666816932099545
"Aldoc" "Gm26641" 0.666611044139722
"Aldoc" "Entpd7" 0.666470255096136
"Aldoc" "Rcbtb2" 0.666428083204257
"Agpat5" "Tnrc18" 0.666235643704562
"Aldoc" "X1700060C16Rik" 0.665974622995109
"Agpat5" "Bcl2a1a" 0.665942702451838
"Aldoc" "X2310026L22Rik" 0.665927761062223
"Aldoc" "Ccl19.ps1" 0.665649356597555
"Agpat5" "Acer2" 0.66564242428542
"Aldoc" "Parva" 0.665568667746659
"Agpat5" "Tekt5" 0.665491936277219
"Agpat5" "Sh3gl2" 0.665049451076634
"Agpat5" "Dock10" 0.664968933733978
"Agpat5" "Dram1" 0.664963441014652
"Agpat5" "Clec4a1" 0.664947766133659
"Agpat5" "Capza2" 0.664863723549946
"Aldoc" "Bach1" 0.664716386264192
"Agpat5" "Emr1" 0.66458545342853
"Agpat5" "Clec12a" 0.664553355633244
"Aldoc" "Trp73" 0.664391644698419
"Agpat5" "Ighv2.9.1" 0.66426663509498
"Agpat5" "Gm13270" 0.664087249754338
"Agpat5" "Cd53" 0.664021643011293
"Agpat5" "Cct2" 0.664000938349365
"Agpat5" "X2700081L22Rik" 0.663955575855895
"Aldoc" "Pcyt1a" 0.663912595395169
"Aldoc" "Gm12343" 0.663909147404094
"Aldoc" "Itga1" 0.663812042592175
"Agpat5" "Gm10544" 0.663791998867504
"Agpat5" "X2610028H24Rik" 0.66376204114702
"Agpat5" "Iqgap1" 0.663575922103886
"Agpat5" "Cybb" 0.663532757399412
"Aldoc" "Emx1" 0.663454259236245
"Agpat5" "Zfp523" 0.663417684227916
"Agpat5" "Inpp5d" 0.663263960248855
"Agpat5" "Apln" 0.663242435168173
"Aldoc" "Gm26493" 0.663223096946556
"Agpat5" "Ces2a" 0.663106847279022
"Agpat5" "Fbrsl1" 0.663051642849992
"Aldoc" "Pllp" 0.663008280938329
